"date";"Ïàé";"Ñ×À";"id"
2019-08-23;222.14;103732145.83;166
2019-08-22;227.2;106097916.76;166
2019-08-21;229.21;107035050.97;166
2019-08-20;228.41;106261731.03;166
2019-08-19;229.58;106662207.66;166
2019-08-16;226.23;105114369.67;166
2019-08-15;223.39;103793849.08;166
2019-08-14;223.74;103957347.27;166
2019-08-13;227.62;105759831.58;166
2019-08-12;226.03;105020896.56;166
2019-08-09;228.29;106072677.43;166
2019-08-08;229.05;106427448.04;166
2019-08-07;225.74;104885188.12;166
2019-08-06;223.86;104015739.57;166
2019-08-05;221.25;103598362.4;166
2019-08-02;228.68;107077480.83;166
2019-08-01;231.18;108247858.88;166
2019-07-31;232.81;109032534.52;166
2019-07-30;233.5;109353663.37;166
2019-07-29;232.81;109028773.4;166
2019-07-26;233.25;109237702.46;166
2019-07-25;230.87;108122700.06;166
2019-07-24;235.07;110089274.64;166
2019-07-23;233.69;109440879.03;166
2019-07-22;233.1;109167232.6;166
2019-07-19;231.64;108481778.33;166
2019-07-18;233.07;109150706.28;166
2019-07-17;232.43;108852199.33;166
2019-07-16;231.56;108434336.5;166
2019-07-15;233.16;109183014.06;166
2019-07-12;233.83;109495541.93;166
2019-07-11;232.09;108682503.11;166
2019-07-10;232.59;108620719.75;166
2019-07-09;233.88;109222584.67;166
2019-07-08;226.47;105759321.37;166
2019-07-05;228.82;106857251.91;166
2019-07-04;228.35;106639299.42;166
2019-07-03;228.37;106649775.63;166
2019-07-02;226.61;105826622.87;166
2019-07-01;224.71;104940775.32;166
2019-06-28;222.47;101790594.94;166
2019-06-27;221.36;101285588.36;166
2019-06-26;217.92;99700134.07;166
2019-06-25;216.21;98917422.81;166
2019-06-24;220.34;100808061.01;166
2019-06-21;222.96;90963106.19;166
2019-06-20;223.67;91251821.53;166
2019-06-19;224.69;91670083.21;166
2019-06-18;223.5;91265022.56;166
2019-06-17;220.47;90027623.55;166
2019-06-14;217.74;88915903.31;166
2019-06-13;221.56;90475600.31;166
2019-06-11;219.42;89600810.51;166
2019-06-10;220.85;90185389.13;166
2019-06-07;219.08;88362992.86;166
2019-06-06;218.01;87931732.92;166
2019-06-05;216.85;87463762.39;166
2019-06-04;216.7;87401989.92;166
2019-06-03;210.45;84880152.2;166
2019-05-31;212.7;85873907.57;166
2019-05-30;217.38;87765552.14;166
2019-05-29;219.06;88639587.29;166
2019-05-28;218.66;88477420.47;166
2019-05-27;220.12;89072010.98;166
2019-05-24;219.81;89156667.12;166
